Month,Market (transfer) value in million euros
Jadon Sancho (Borussia Dortmund),100
Phlippe Coutinho (FC Bayern München),90
Kai Havertz (Bayer 04 Leverkusen),90
Joshua Kimmich (FC Bayern München),70
Thiago (FC Bayern München),70
Lucas Hernández (FC Bayern München),70
Timo Werner (RB Leipzig),65
Robert Lewandowski (FC Bayern München),65
Niklas Süle (FC Bayern München),60
Serge Gnabry (FC Bayern München),60
David Alaba (FC Bayern München),55
Julian Brandt (Bayer 04 Leverkusen),50
Kingsley Coman (FC Bayern München),50
Marco Reus (Borussia Dortmund),50
Leon Goretzka (FC Bayern München),50
Ibrahima Konaté  (RB Leizpig),45
Leon Bailey (Bayer Leverkusen),40
Jonathan Tah (Bayer Leverkusen),40
Corentin Tolisso (FC Bayern München),40
Manuel Akanji (Borussia Dortmund),40
Andrej Kramaric (TSG Hoffenheim),38
Thorgan Hazard (Borussia Dortmund),38
Paco Alcácer (Borussia Dortmund),37
Mat Hummels (Borussia Dortmund),35
Thomas Müller (FC Bayern München),35
