Latest available time period in brackets,Male,Female
China (2008),56,38
Turkey (2006),52,28
Korea (2009),74,-
Mexico (2009),49,24
South Africa (2010),44,29
Japan (2011),50,21
Italy (2008),43,25
India (1999),44,18
Canada (2010),36,25
Hungary (1999-2000),32,28
Norway (2010),33,26
Estonia (2009-2010),30,29
Austria (2008-09),34,25
Netherlands (2005-06),34,22
Belgium (2005),31,23
Germany (2001-02),34,19
Portugal (1999),32,20
Poland (2003-04),30,22
Slovenia (2000-01),28,22
Australia (2006),31,18
New Zealand (2009-10),29,18
Denmark (2001),29,18
Ireland (2005),26,20
France (2009),26,19
United Kingdom (2005),28,16
United States (2014),25,17
Spain (2009-10),26,16
Finland (2009-10),21,20
Sweden (2010),21,19
