HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.imgPath,Input.generated,Input.generated_baseline,Input.generated_untemplated,Input.gold,Input.titles,Answer.explanation1,Answer.explanation2,Answer.explanation3,Answer.explanation4,Answer.no0.0,Answer.no1.0,Answer.no2.0,Answer.option1a.1,Answer.option1b.1,Answer.option1c.1,Answer.option1d.1,Answer.option2a.2,Answer.option2b.2,Answer.option2c.2,Answer.option2d.2,Answer.option3a.3,Answer.option3b.3,Answer.option3c.3,Answer.option3d.3,Answer.option4a.4,Answer.option4b.4,Answer.option4c.4,Answer.option4d.4,Answer.option5a.5,Answer.option5b.5,Answer.option5c.5,Answer.option5d.5,Answer.other0.3,Answer.other1.3,Answer.other2.3,Answer.otherText0,Answer.otherText1,Answer.otherText2,Answer.partial0.2,Answer.partial1.2,Answer.partial2.2,Answer.yes0.1,Answer.yes1.1,Answer.yes2.1,Approve,Reject
3BJKPTD2QCJBLRBR9NB41DZEOEPTRI,3QLGZJY8K0PDNCUWBI5E8U8GGDD5X6,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08,Tue Aug 25 13:36:38 PDT 2020,1,BatchId:4163717;OriginalHitTemplateId:928390912;,3600,604800,Tue Sep 01 13:36:38 PDT 2020,,,3EA3QWIZ4J31FC6292MWC5U9DV5ITK,A23BGNP50WTKI2,Submitted,Tue Aug 25 15:01:23 PDT 2020,Tue Aug 25 15:11:07 PDT 2020,Tue Sep 01 15:11:07 PDT 2020,,,,584,0% (0/0),0% (0/0),0% (0/0),https://chart2text.s3.amazonaws.com/1006.png,"The statistic presents results of a survey about whether Italy adults have ever knowingly or unknowingly shared fake gay or information marriage as of 2019 . It I don´t know In favor that 8 % of respondents admitted to Public a gay story marriage which they I don´t know made , and 40 % of surveyed adults had shared gay which they In favor out to be false .","This bar chart has 3 categories for the x axis representing Response, and a y axis representing Share of respondents. The highest category is found at Against where Share of respondents is 52.0. The lowest category is found at I don´t know where Share of respondents is 8.0.","This statistic shows the results of a survey , conducted in 2013 , among adult Americans on the frequency of having dinner at home as a family . In 2013 , 53 percent of the respondents answered that their family eat dinner together at home on 6 to 7 nights a week .","The statistic illustrates the public opinion on gay marriage among Italians in 2016 . According to the data , more than half of Italian adults were against same-sex marriage ( 52 percent ) . Italy recognized same-sex civil unions ( not marriage ) in June 2016 , granting to same-sex couples most of the rights of marriage except parenting ( stepchild or joint adoption ) .",Public opinions on gay marriage in Italy 2016,Bad explanation,A lot of mistakes,No summary at all,There is no summary there,false,false,,false,true,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,Correct figures but bad explanation,Correct figures but bad explanation,,true,true,,false,false,,x,
3L1EFR8WWTCVYMX4KM6TTOKJRK99F3,3EH3OJYIRZ5ZTNWNBAIXZJVBAX7YAA,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08,Wed Aug 26 09:25:15 PDT 2020,1,BatchId:4164674;OriginalHitTemplateId:928390912;,3600,604800,Wed Sep 02 09:25:15 PDT 2020,,,3LEIZ60CDK74QNMYB051L0WNFET9ZN,A23BGNP50WTKI2,Submitted,Wed Aug 26 13:45:55 PDT 2020,Wed Aug 26 13:46:33 PDT 2020,Wed Sep 02 13:46:33 PDT 2020,,,,38,100% (2/2),100% (2/2),100% (2/2),https://chart2text.s3.amazonaws.com/1088.png,"The statistic shows the U.S. Number in 2018 , by main type . In 2018 , the U.S. Number amounted to over 1206836 million crimes .","This bar chart has 9 categories for the x axis representing Type of crime, and a y axis representing Number of committed crimes. The highest category is found at Property crime  (total) where Number of committed crimes is 7196045.0. The lowest category is found at Murder and nonnegligent manslaughter where Number of committed crimes is 16214.0.","This statistic shows the most expensive prescription drugs in the united in 2013 , by type . In that year , there were a total of 114.7 billion u.s. dollars , followed by newport with 34.9 billion u.s. dollars .","This statistic shows the number of committed crimes in the United States in 2018 , by type of crime . In 2018 , the FBI recorded 139,380 cases of rape .","Number of committed crimes , by type U.S. 2018",incorrect summary,correct,incorrect summary,incorrect summary,true,true,,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,,incorrect summary,incorrect summary,,false,false,,false,false,,,
3511RHPADVLN2E3M0E9DFMPXU13LR7,3QLGZJY8K0PDNCUWBI5E8U8GGDD5X6,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08,Tue Aug 25 13:36:38 PDT 2020,1,BatchId:4163717;OriginalHitTemplateId:928390912;,3600,604800,Tue Sep 01 13:36:38 PDT 2020,,,3KJYX6QCMAJCNFUXWF7BPOXUNVYJV1,A26Z3YPJ8RYJQJ,Submitted,Tue Aug 25 14:39:38 PDT 2020,Tue Aug 25 14:42:17 PDT 2020,Tue Sep 01 14:42:17 PDT 2020,,,,159,0% (0/0),0% (0/0),0% (0/0),https://chart2text.s3.amazonaws.com/1198.png,This graph depicts the annual National Hockey League Revenue of the Edmonton Oilers from the 2005/06 season to the 2018/19 season . The Revenue of the Edmonton Oilers amounted to 154 million U.S. dollars in the 2018/19 season .,"This line chart has an x axis representing Year and a y axis representing Revenue in million U.S. dollars, with a total of 14 data points. The chart has 5 significant trends. The longest trend is slightly positive which exists from 2012/13 to 2008/09. Additionally, the next significant trend is slightly positive which exists from 2008/09 to 2005/06. Additionally, the next significant trend is slightly negative which exists from 2018/19 to 2016/17. Contrarily, the next significant trend is extremely negative which exists from 2016/17 to 2014/15. On the contrary, the next significant trend is extremely positive which exists from 2014/15 to 2012/13.",The statistic shows the revenue of the montreal canadiens from the 2005/06 season to the 2018/19 season . The revenue of the montreal canadiens amounted to 243 million u.s. dollars in the 2018/19 season .,This graph depicts the annual National Hockey League revenue of the Edmonton Oilers from the 2005/06 season to the 2018/19 season . The revenue of the Edmonton Oilers amounted to 154 million U.S. dollars in the 2018/19 season .,Edmonton Oilers ' revenue 2005 to 2019,because it provided all  the answers,i I didn't notice anything obvious,again it isn't clear on the chart where the revenue is,It could use an ending number,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,,It is on the sidebar of the chart,it's on the dodebar and is loosely reflected on the column,,false,false,,true,true,,x,
3ZTE0JGGCEZR2XH0V9ZAI8U5P63OCL,3EH3OJYIRZ5ZTNWNBAIXZJVBAX7YAA,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08,Wed Aug 26 09:25:15 PDT 2020,1,BatchId:4164674;OriginalHitTemplateId:928390912;,3600,604800,Wed Sep 02 09:25:15 PDT 2020,,,3TDXMTX3CC2VDEVQDPE31V2VT0I6IB,A23BGNP50WTKI2,Submitted,Wed Aug 26 13:41:16 PDT 2020,Wed Aug 26 13:41:52 PDT 2020,Wed Sep 02 13:41:52 PDT 2020,,,,36,100% (2/2),100% (2/2),100% (2/2),https://chart2text.s3.amazonaws.com/180.png,"The statistic shows the 20 Countries lowest the national debt in relation to GDP in 2019 . In 2019 , Hong Kong SAR ranked first among the Countries lowest the national debt levels ; it had an estimated debt of around 22.62 % of GDP.Japanese National debt , also known as national and government debt , is the debt owed by a nation 's central government . However , as a government draws in much of its income from its population , government debt is an indirect debt on taxpayers .","This bar chart has 20 categories for the x axis representing Country, and a y axis representing National debt in relation to GDP. The highest category is found at Kiribati where National debt in relation to GDP is 22.62. The lowest category is found at Hong Kong SAR where National debt in relation to GDP is 0.0.","This statistic shows the 20 countries with the highest employment in the travel and tourism industry worldwide in 2017 . According to the World travel & tourism Council , around 5.44 million people were employed in the U.S. travel and tourism industry .","The statistic shows the 20 countries with the lowest national debt in 2019 in relation to the gross domestic product ( GDP ) . The data refer to the debts of the entire state , including the central government , the provinces , municipalities , local authorities and social insurance . In 2019 , Russia 's estimated level of national debt reached about 16.49 percent of the GDP , ranking 10th of the countries with the lowest national debt .",Countries with the lowest national debt 2019,incorrect explanation,correct,incorrect explanation,incorrect explanation,true,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,incorrect explanation,incorrect explanation,incorrect explanation,false,false,false,false,false,false,,
3CRWSLD91KB4BJTR8YTOL4ZHJJ9OM3,3QLGZJY8K0PDNCUWBI5E8U8GGDD5X6,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08,Tue Aug 25 13:36:38 PDT 2020,1,BatchId:4163717;OriginalHitTemplateId:928390912;,3600,604800,Tue Sep 01 13:36:38 PDT 2020,,,3I33IC7ZWGASPVTREZANUKX009R2AA,A2E7K2Z8VZR7B8,Submitted,Tue Aug 25 13:53:46 PDT 2020,Tue Aug 25 13:57:05 PDT 2020,Tue Sep 01 13:57:05 PDT 2020,,,,199,0% (0/0),0% (0/0),0% (0/0),https://chart2text.s3.amazonaws.com/226.png,"The statistic shows Gross domestic product ( GDP ) in Sudan from 1984 to 2018 , with projections up until 2024 . Gross domestic product ( GDP ) denotes the aggregate value of all services and goods produced within a country in any given Year . GDP is an important indicator of a country 's economic power .","This line chart has an x axis representing Year and a y axis representing Gross domestic product in billion U.S. dollars, with a total of 41 data points. The chart has 5 significant trends. The longest trend is extremely positive which exists from 2012 to 1999. Also, the next significant trend is moderately positive which exists from 1999 to 1990. Also, the next significant trend is slightly positive which exists from 2019 to 2012. Likewise, the next significant trend is moderately positive which exists from 1990 to 1984. Similarly, the next significant trend is moderately positive which exists from 2024 to 2019.","The statistic shows gross domestic product ( gdp ) in uganda from 1984 to 2018 , with projections up until 2024 . gross domestic product ( gdp ) denotes the aggregate value of all services and goods produced within a country in any given year . gdp is an important indicator of a country 's economic power .",The statistic shows gross domestic product ( GDP ) in Sudan from 1984 to 2024 . Gross domestic product ( GDP ) denotes the aggregate value of all services and goods produced within a country in any given year . GDP is an important indicator of a country 's economic power .,Gross domestic product ( GDP ) in Sudan 2024,Easy to understand,Common words and without any typos and such.,Brief and explains without going into much detail,"Could be better if followed a linear and more accepted orientation, with ascending order",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,it shows in a regressive scale of time from the projection of 2024 until the 1984 results,"The description is the same as the question, so yes.",Also explained in the second sentence,false,false,false,true,true,true,x,
335VBRURDJ73S8X8PBMNB6ZJFJU9EL,3EH3OJYIRZ5ZTNWNBAIXZJVBAX7YAA,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08,Wed Aug 26 09:25:15 PDT 2020,1,BatchId:4164674;OriginalHitTemplateId:928390912;,3600,604800,Wed Sep 02 09:25:15 PDT 2020,,,3LOTDFNYA879X2863ZLMWSOG18OWFC,A23BGNP50WTKI2,Submitted,Wed Aug 26 10:31:09 PDT 2020,Wed Aug 26 10:34:02 PDT 2020,Wed Sep 02 10:34:02 PDT 2020,,,,173,100% (2/2),100% (2/2),100% (2/2),https://chart2text.s3.amazonaws.com/230.png,"This statistic shows Religious diversity in the North North America in 2010 , by share of Religious population . In 2010 , around 77 percentage of population , in North countries , identified as Hindu .","This bar chart has 7 categories for the x axis representing Religion, and a y axis representing Percentage of population. The highest category is found at Christians where Percentage of population is 77.0. The lowest category is found at Muslims where Percentage of population is 1.0.","This statistic shows religious diversity in the asia-pacific region in 2010 , by share of religious population . In 2010 , around 25 percent of population , in asia-pacific countries , identified as Hindu .","This statistic shows religious diversity in North America in 2010 , by share of religious population . In 2010 , about 77 percent of population were Christians .","Religious diversity in North America in 2010 , by religion",no one word about diversity,Another value and meaning,no one word about diversity,no one word about diversity,true,true,,true,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,,no one word about diversity,other value,,false,false,,false,false,,,
3HKIF5DF6Y41CMTZV6CBB9KVSZ99G2,3EH3OJYIRZ5ZTNWNBAIXZJVBAX7YAA,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08,Wed Aug 26 09:25:15 PDT 2020,1,BatchId:4164674;OriginalHitTemplateId:928390912;,3600,604800,Wed Sep 02 09:25:15 PDT 2020,,,3GA6AFUKOPWWK0XOO5YKUGPWJWVH3H,A23BGNP50WTKI2,Submitted,Wed Aug 26 13:22:25 PDT 2020,Wed Aug 26 13:23:21 PDT 2020,Wed Sep 02 13:23:21 PDT 2020,,,,56,100% (2/2),100% (2/2),100% (2/2),https://chart2text.s3.amazonaws.com/247.png,"The Dallas Cowboys have the highest fans Facebook millions during the 2019 of the National Football League . The franchise has an impressive win millions of 8.58 millions . On the other end of the spectrum , the Jacksonville Jaguars Pittsburgh Steelers find themselves in last place with a 2019 win millions of just 0.63 millions .","This bar chart has 32 categories for the x axis representing Team, and a y axis representing Facebook fans in millions. The highest category is found at Dallas Cowboys where Facebook fans in millions is 8.58. The lowest category is found at Jacksonville Jaguars where Facebook fans in millions is 0.63.","The dallas cowboys have the highest all-time winning percentage during the regular season of the National Football League . The franchise has an impressive win percentage of 57.3 percent . On the other end of the spectrum , the tampa bay buccaneers find themselves in last place with a regular season win percentage of just 38.5 percent .","With 8.58 million fans , the Dallas Cowboys have the most followed National Football League team account on Facebook . Second on the list are the New England Patriots , six-time winners of the Super Bowl . NFL on social media While the Cowboys lead the way on Facebook , over on Twitter , the New England Patriots have the largest following , while The Jacksonville Jaguars are bringing up the rear with the lowest amount of followers on the social media site .",NFL teams - number of Facebook fans 2019,incorrect explanation,correct,incorrect explanation,incorrect explanation,true,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,incorrect explanation,incorrect explanation,incorrect explanation,false,false,false,false,false,false,,
3D06DR5225QF9FZQYFO6K9FCU33MA2,3EH3OJYIRZ5ZTNWNBAIXZJVBAX7YAA,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08,Wed Aug 26 09:25:15 PDT 2020,1,BatchId:4164674;OriginalHitTemplateId:928390912;,3600,604800,Wed Sep 02 09:25:15 PDT 2020,,,3EFVCAY5L4HEC3YKOMW1XADMC8D8JN,A23BGNP50WTKI2,Submitted,Wed Aug 26 10:55:46 PDT 2020,Wed Aug 26 10:56:45 PDT 2020,Wed Sep 02 10:56:45 PDT 2020,,,,59,100% (2/2),100% (2/2),100% (2/2),https://chart2text.s3.amazonaws.com/255.png,"The statistic shows the share of members different etnicities or races within the worth in the entrepreneurs . The term worth refers to the age group 's to wealthiest here . In 2016 , 21.9 billion of the worth in the entrepreneurs were Ma Huateng (Tencent) Whites .","This bar chart has 5 categories for the x axis representing Entrepreneur (company), and a y axis representing Net worth in billion U.S. dollars. The highest category is found at Ma Huateng (Tencent) where Net worth in billion U.S. dollars is 21.9. The lowest category is found at Kim Jung-Ju (Nexon) where Net worth in billion U.S. dollars is 3.5.","This statistic presents the average value of transaction per day in the united kingdom ( uk ) in 2015 , by type . In 2016 , nuisance attacks was the largest paying wealth in the u.s. , with an average value of 680 u.s. dollars .","The graph shows the estimated net worth of the wealthiest entrepreneurs in the video game industry worldwide as of July 2016 . According to the source , Ma Huateng , the founder and chairman as well as CEO of Tencent , was worth 21.9 billion U.S. dollars in the measured period . Overall , Tencent reported 70.84 billion Chinese yuan revenue from its online games in 2016 .",Video game industry 's wealthiest entrepreneurs 2016,total incorrect values,but total incorrect values,total incorrect values,total incorrect values,true,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,total incorrect values,total incorrect values,total incorrect values,false,false,false,false,false,false,,
30EV7DWJTV2EGUC1R5V5YZ0X7UR6YM,3EH3OJYIRZ5ZTNWNBAIXZJVBAX7YAA,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08,Wed Aug 26 09:25:15 PDT 2020,1,BatchId:4164674;OriginalHitTemplateId:928390912;,3600,604800,Wed Sep 02 09:25:15 PDT 2020,,,3LKC68YZ3BB33FLZ224CJMXUTA2WON,A23BGNP50WTKI2,Submitted,Wed Aug 26 11:29:23 PDT 2020,Wed Aug 26 11:31:10 PDT 2020,Wed Sep 02 11:31:10 PDT 2020,,,,107,100% (2/2),100% (2/2),100% (2/2),https://chart2text.s3.amazonaws.com/268.png,"This statistic illustrates the Export volume of Global pork in exports 2020 by in 2020 . That year , United States accounted for some 3221 thousand of the world 's exports 2020 by and was ranked second . exports 2020 by Country In 2020 , EU topped the ranking of the largest exports 2020 producing pork worldwide .","This bar chart has 7 categories for the x axis representing Country, and a y axis representing Export volume in thousand metric tons. The highest category is found at EU where Export volume in thousand metric tons is 3900.0. The lowest category is found at China where Export volume in thousand metric tons is 100.0.","This statistic provides a projection of the engineering , procurement , and construction ( epc ) market value at the end of 2019 , broken down by world region . by the end of that year , western europe 's epc market is expected to reach a value of 1.62 trillion u.s. dollars .","This statistic depicts the forecast export volume of pork worldwide in 2020 , by leading country . The estimated pork exports of the United States were amounted to approximately 3.22 million metric tons in 2020 .","Global pork exports 2020 , by country",incorrect explanation,correct,incorrect explanation,incorrect explanation,true,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,incorrect explanation,incorrect explanation,incorrect explanation,false,false,false,false,false,false,,
31SIZS5W59MYTBJZSJH9W8OR48OQR1,3EH3OJYIRZ5ZTNWNBAIXZJVBAX7YAA,Evaluate the quality of a summary for a chart,A short survey to evaluate the quality of a summary for a chart,"survey, chart, summary, evaluation, machine learning, nlp, ml, ai, artificial intelligence",$0.08,Wed Aug 26 09:25:16 PDT 2020,1,BatchId:4164674;OriginalHitTemplateId:928390912;,3600,604800,Wed Sep 02 09:25:16 PDT 2020,,,3C2NJ6JBKBPZ9ENGN3FSGQH0ZU8N2P,A23BGNP50WTKI2,Submitted,Wed Aug 26 13:36:08 PDT 2020,Wed Aug 26 13:36:50 PDT 2020,Wed Sep 02 13:36:50 PDT 2020,,,,42,100% (2/2),100% (2/2),100% (2/2),https://chart2text.s3.amazonaws.com/282.png,"The statistic presents results of a survey about whether Italy adults have ever knowingly or unknowingly shared fake gay or information marriage as of 2019 . It I don´t know In favor that 8 % of respondents admitted to Public a gay story marriage which they I don´t know made , and 40 % of surveyed adults had shared gay which they In favor out to be false .","This bar chart has 3 categories for the x axis representing Response, and a y axis representing Share of respondents. The highest category is found at Against where Share of respondents is 52.0. The lowest category is found at I don´t know where Share of respondents is 8.0.","This statistic shows the results of a survey , conducted in 2013 , among adult Americans on the frequency of having dinner at home as a family . In 2013 , 53 percent of the respondents answered that their family eat dinner together at home on 6 to 7 nights a week .","The statistic illustrates the public opinion on gay marriage among Italians in 2016 . According to the data , more than half of Italian adults were against same-sex marriage ( 52 percent ) . Italy recognized same-sex civil unions ( not marriage ) in June 2016 , granting to same-sex couples most of the rights of marriage except parenting ( stepchild or joint adoption ) .",Public opinions on gay marriage in Italy 2016,incorrect explanation,correct,incorrect explanation,incorrect explanation,true,true,,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,,incorrect explanation,incorrect explanation,,false,false,,false,false,,,
